-94	4	0.000013
-90	4	0.000013
-89	2	0.000007
-88	35	0.000117
-87	38	0.000127
-86	55	0.000183
-85	82	0.000273
-84	153	0.000510
-83	31	0.000103
-82	20	0.000067
-81	38	0.000127
-80	18	0.000060
-79	34	0.000113
-78	571	0.001902
-77	3201	0.010664
-76	121	0.000403
-75	162	0.000540
-74	104	0.000346
-73	45	0.000150
-72	33	0.000110
-71	68	0.000227
-70	135	0.000450
-69	160	0.000533
-68	134	0.000446
-67	218	0.000726
-66	663	0.002209
-65	1628	0.005424
-64	1323	0.004407
-63	529	0.001762
-62	830	0.002765
-61	710	0.002365
-60	413	0.001376
-59	486	0.001619
-58	527	0.001756
-57	417	0.001389
-56	395	0.001316
-55	510	0.001699
-54	773	0.002575
-53	367	0.001223
-52	185	0.000616
-51	115	0.000383
-50	73	0.000243
-49	41	0.000137
-48	27	0.000090
-47	17	0.000057
-46	18	0.000060
-45	7	0.000023
-44	7	0.000023
-43	17	0.000057
-42	42	0.000140
-41	42	0.000140
-40	64	0.000213
-39	72	0.000240
-38	19	0.000063
-37	30	0.000100
-36	28	0.000093
-35	28	0.000093
-34	51	0.000170
-33	11	0.000037
-32	17	0.000057
-31	20	0.000067
-30	26	0.000087
-29	8	0.000027
-28	17	0.000057
-27	32	0.000107
-26	32	0.000107
-25	21	0.000070
-24	34	0.000113
-23	34	0.000113
-22	20	0.000067
-21	48	0.000160
-20	34	0.000113
-19	30	0.000100
-18	37	0.000123
-17	94	0.000313
-16	2683	0.008938
-15	2206	0.007349
-14	106	0.000353
-13	34	0.000113
-12	48	0.000160
-11	36	0.000120
-10	35	0.000117
-9	78	0.000260
-8	198	0.000660
-7	252	0.000840
-6	139	0.000463
-5	639	0.002129
-4	680	0.002265
-3	815	0.002715
-2	3285	0.010944
-1	16320	0.054369
0	255715	0.851895
1	289	0.000963
2	25	0.000083
3	51	0.000170
4	49	0.000163
5	15	0.000050
6	20	0.000067
7	10	0.000033
8	7	0.000023
9	1	0.000003
10	1	0.000003
